eta normalized_eta response N_samps  AV_response, AV_normalized_response
0.008 0.019739208802178717 0.030366021671170244 9.29e7 2.8131566793213856 0.4620770647929609
0.016 0.039478417604357434 0.06101955633733043 8.61e7 2.736049915455277 0.4494118380799112
0.024 0.05921762640653615 0.09160779449415483 8.78e7 2.6871940984696447 0.4413869908765095
0.032 0.07895683520871487 0.12243033216846264 9.36e7 2.63603983835853 0.43298461125167415
0.04 0.09869604401089359 0.15294409774462198 9.24e7 2.7160409662764393 0.44612525380463397
0.048 0.1184352528130723 0.18380982363114448 8.73e7 2.7862508647509725 0.45765763095411793
0.056 0.13817446161525102 0.21403231103619394 8.77e7 2.719908252530191 0.4467604776775108
0.064 0.15791367041742974 0.244438293195185 9.18e7 2.9641213611734822 0.48687387671260396
0.072 0.17765287921960843 0.2749075021992305 8.78e7 2.7985618582139518 0.4596797820009736
0.08 0.19739208802178718 0.3055066205871521 7.55e7 3.048415950052662 0.5007197447701971
0.16 0.39478417604357435 0.607851509215132 7.77e7 3.022019328127718 0.49638394873395575
0.24 0.5921762640653615 0.9045923878317786 7.64e7 3.2186366253127368 0.5286794636758021
0.32 0.7895683520871487 1.196148675450686 7.7e7 3.3679524941446086 0.5532054486321344
0.4 0.9869604401089359 1.4815670056326944 7.66e7 3.8857101673980488 0.6382501060056779
0.48 1.184352528130723 1.7624742595388097 7.81e7 4.03722830154343 0.6631378256280678
0.56 1.3817446161525102 2.0391702711812814 7.59e7 4.2628481532833815 0.7001971759363373
0.64 1.5791367041742974 2.312949515458714 7.74e7 4.904448574903484 0.8055837126235368
0.72 1.7765287921960844 2.5836630859247767 7.71e7 5.1830991459921085 0.8513536617123924
0.8 1.9739208802178718 2.8531968718049843 7.79e7 5.771304158075018 0.9479696971709448
1.2 2.9608813203268074 4.187233177240063 1.53e7 7.113089330197776 1.1683655814367178
1.4 3.4543615403812753 4.85616086414767 1.56e7 8.767772517691917 1.4401567532757475
1.6 3.9478417604357436 5.530146357827817 1.55e7 10.210916969494066 1.6772014786060998
1.8 4.441321980490211 6.216039390250485 1.55e7 11.20757322781867 1.8409079659977874
2.0 4.934802200544679 6.911125080510709 1.53e7 13.575297374401888 2.229820191162762
2.2 5.428282420599148 7.618308600235356 1.56e7 16.542415781799818 2.7171863498490727
2.4 5.921762640653615 8.338754160724916 1.56e7 19.686505477281663 3.2336210541843124
2.6 6.415242860708083 9.079795295683226 1.5e7 23.312035489620687 3.829135082512279
2.8 6.908723080762551 9.827513116411549 1.52e7 27.68793754511635 4.547902008111562
3.0 7.4022033008170185 10.60084371936534 1.56e7 33.24315385479475 5.460378041009025
3.2 7.895683520871487 11.386463485503356 1.53e7 37.343059133694354 6.133810918434145
3.4 8.389163740925953 12.197316938437874 1.53e7 42.34111967399184 6.954770931466657
3.6 8.882643960980422 13.02429308621185 1.53e7 46.797119162837184 7.686694318336557
3.8 9.37612418103489 13.874860337440074 1.54e7 57.88237154826625 9.50751038677675
4.0 9.869604401089358 14.743080133211828 1.52e7 66.2601711219119 10.88361185487832
