eta normalized_eta response N_samps  AV_response, AV_normalized_response
0.008 0.012566370614359173 0.01936709604527465 1.026e8 1.1852930443514391 0.48038117686687115
0.016 0.025132741228718346 0.038997380715191515 1.002e8 1.1036619658506133 0.4472973468840541
0.024 0.03769911184307752 0.058226597229453884 1.033e8 1.1240145571467957 0.45554594144532584
0.032 0.05026548245743669 0.07789248199226802 9.86e7 1.0885823814766777 0.4411858215336475
0.04 0.06283185307179587 0.09730597929487968 1.015e8 1.0708056147289675 0.4339811693408005
0.048 0.07539822368615504 0.11686118957599743 1.009e8 1.1395130551281785 0.46182724608593423
0.056 0.0879645943005142 0.13623035997164837 9.99e7 1.090452324552881 0.44194368091694636
0.064 0.10053096491487339 0.1557565411493915 9.82e7 1.1730568596485962 0.47542203799743793
0.072 0.11309733552923254 0.1748964798358905 1.006e8 1.07346589228989 0.4350593392259598
0.08 0.12566370614359174 0.1944429681207263 9.51e7 1.0897983518292023 0.4416786357552146
0.16 0.25132741228718347 0.3847576117641413 9.5e7 1.1889211449882309 0.4818515906704442
0.24 0.37699111843077515 0.5699057017269258 9.3e7 1.221233642469336 0.4949473526353467
0.32 0.5026548245743669 0.7493976909724874 9.39e7 1.2930922271500662 0.5240705400542057
0.4 0.6283185307179586 0.9238639539486965 9.34e7 1.3858802658375697 0.5616761156848813
0.48 0.7539822368615503 1.0935659062423946 9.48e7 1.4513905827556537 0.588226447088581
0.56 0.8796459430051421 1.2598934378731157 9.54e7 1.5213888096458859 0.6165956598941139
0.64 1.0053096491487339 1.4230153427413121 9.37e7 1.621146629204029 0.6570259813149533
0.72 1.1309733552923253 1.5840580443525993 9.49e7 1.7317729708993168 0.7018611488453063
0.8 1.2566370614359172 1.7433157679095972 9.63e7 1.8590667105148606 0.753451358317732
1.5 2.356194490192345 3.1192823096720885 2.69e7 3.10115841328942 1.2568521643875128
2.0 3.141592653589793 4.139169389785933 2.71e7 5.037948472881802 2.041803609605969
2.5 3.9269908169872414 5.221618218047955 2.7e7 7.838929675206508 3.1769985327238794
3.0 4.71238898038469 6.379750997341942 2.62e7 11.910304284021393 4.827064510389817
3.5 5.497787143782138 7.625078869364189 2.63e7 20.12123508532748 8.154829420764464
4.0 6.283185307179586 8.964765004831639 2.68e7 28.656062985597433 11.613864880920465
4.5 7.0685834705770345 10.408396094425697 2.63e7 42.15371625276986 17.084257702615577
5.0 7.853981633974483 11.976809561175356 2.68e7 61.08448067235943 24.756607535603855
5.5 8.63937979737193 13.682747464024356 2.69e7 90.72145655077757 36.76802143792681
6.0 9.42477796076938 15.549192727285849 2.68e7 129.34838235013922 52.422924807751116
