eta Im(response) Re(response) N_samps AV_im_response AV_re_response
0.01 -3.6474073596185375e-6 -0.0026823850715138684 1.37701377e8 0.5261036799999687 0.520555222497066
0.02 -4.545253217964877e-5 -0.005121817641356626 1.43101431e8 0.504882357414336 0.5525825611920623
0.03 -5.985151769106711e-6 -0.0078117862104063315 1.40701407e8 0.5308357338949926 0.5357404805201575
0.04 1.0526386456915423e-5 -0.010421262564854693 1.41201412e8 0.5493386313934977 0.5115185023196036
0.05 0.00014598075380973396 -0.013091044776863152 1.44801448e8 0.5288937046153027 0.5343729617106289
0.06 4.487962079839732e-5 -0.015622288689934708 1.4500145e8 0.49093690884036945 0.5399286979930229
0.07 -1.6197807776746203e-5 -0.01842077280666076 1.40101401e8 0.5178889534530208 0.5131944461175252
0.08 -4.4414141428867436e-5 -0.020951072917811585 1.41101411e8 0.5066772320408488 0.5107678902434558
0.09 -8.35384190412516e-5 -0.023364207895964578 1.41701417e8 0.5536817216840891 0.5227510532234166
0.1 3.0879697608978424e-5 -0.02618220057845638 1.28101281e8 0.5424350387953807 0.546120330732516
0.2 -5.559153418437059e-5 -0.052406187829005156 1.27601276e8 0.4822107054069301 0.5106981946874761
0.3 -1.7078606664816088e-5 -0.07863144749048692 1.28201282e8 0.5084229112515741 0.49306898806501076
0.4 -2.732349012212719e-5 -0.10485387223181537 1.27701277e8 0.5597575323512346 0.5439281232280403
0.5 -0.00011171818166674873 -0.13136059858281443 1.2900129e8 0.5408392740006235 0.5076357223977542
0.6 3.559255401770346e-5 -0.15798252872584287 1.28501285e8 0.5320340903822977 0.5480035718764533
0.7 6.278858322803832e-5 -0.18470432624405092 1.28401284e8 0.551863257903932 0.5622538005173163
0.8 -4.952768014734497e-5 -0.21163884966360508 1.2900129e8 0.6419077881749904 0.5629043172335929
0.9 0.00017754358415668866 -0.23874992198659592 1.28701287e8 0.5805156426539222 0.569887907734077
1.0 9.028392565827517e-5 -0.2660570126991639 1.29101291e8 0.6039486262707991 0.6174845782110135
1.2 0.0007221467035815396 -0.3207013470014335 600006.0 0.21927587149013059 0.18605562196010025
1.4 0.0021257553259439563 -0.3766593215280159 600006.0 0.18369092278468846 0.19347807917578536
1.6 0.00021114120054366428 -0.43305964318787726 600006.0 0.19713617523966523 0.18446988284502322
1.8 0.000720420607820376 -0.4908670443721651 600006.0 0.18444311502662175 0.19117110726117423
2.0 0.0010230953539155556 -0.5487206432206674 600006.0 0.19901231768022748 0.19517425135568708
2.2 -0.003339458115016763 -0.6066488169728714 600006.0 0.21479162684281955 0.220006082746342
2.4 0.001470028560605545 -0.6652678086284238 600006.0 0.21056995876570825 0.23377091736494612
2.6 0.0015915392889163519 -0.7234246597332663 600006.0 0.23363554235244458 0.22576245720544583
2.8 -0.0006178100412549898 -0.7843025024043679 600006.0 0.22148347513232192 0.20097875046563196
3.0 -0.0022175426980088624 -0.8431858693544845 600006.0 0.24360472423939777 0.2460169017457278
3.2 0.00011833255766768629 -0.9052180063025583 600006.0 0.26729207493889634 0.23883957897691035
4.0 -0.00029092978386191303 -1.1436805212673837 3.900039e6 0.7673669521456831 0.7023464772711211
5.0 -0.0005618891924886135 -1.4430115221896922 3.600036e6 0.948875980428794 0.755209003055252
6.0 -0.0004949467118768623 -1.7369326838937782 3.800038e6 1.2244624203330672 0.9051925267065166
7.0 -0.00041671847247944045 -2.0252566940313104 3.600036e6 1.4137781296971539 1.1222085669069215
8.0 0.0014381877738646447 -2.3069539665029715 3.500035e6 1.7078468583740838 1.198222214763361
9.0 0.0003380641409098256 -2.5803515463779347 3.500035e6 2.0223335108273757 1.3333046144648961
10.0 0.0012943568791072431 -2.8450315205678454 3.400034e6 2.1589468399806506 1.508563069006175
11.0 0.0010272925537204343 -3.102868846318917 3.400034e6 2.475033263094475 1.8027190310436811
12.0 -0.00021913047365809403 -3.352175229095001 3.100031e6 3.037855754618077 2.0781006601889276
13.0 -0.00032212955322260346 -3.5941562281646924 3.100031e6 2.6750570525478063 2.3066182634765635
14.0 0.0007197447337555444 -3.830887417922876 3.200032e6 3.4618094923953837 2.782783486459751
