eta Im(response) Re(response) N_samps AV_im_response AV_re_response
0.01 0.0041194900117097 8.746039307551712e-5 1.68201682e8 0.5018795704998942 0.508227096027036
0.02 0.00819080301616202 8.979925733841333e-5 1.70701707e8 0.5286651254241137 0.5531356807125203
0.03 0.012338561728794436 1.1103565468811963e-5 1.70701707e8 0.5308932620393073 0.5035161943985985
0.04 0.016387732771648404 8.03813482958245e-5 1.72701727e8 0.5288578100837277 0.5317892308440928
0.05 0.020581487978343454 -7.863057919896026e-5 1.73101731e8 0.5467501986352693 0.5174459594675214
0.06 0.024672829394589424 1.3125234246345029e-5 1.70601706e8 0.5080540167770884 0.5228205055703244
0.07 0.028771472765942056 -3.70809353530221e-6 1.72801728e8 0.5284966861237756 0.5468462162262909
0.08 0.032893611852990515 1.7267487110122683e-6 1.67801678e8 0.506991623266723 0.5528229819767513
0.09 0.03699059615728146 -9.001569078684378e-5 1.72901729e8 0.5393583535798179 0.4745811371282303
0.1 0.041090203887666016 -0.00012060443582439637 1.60801608e8 0.5409531119796698 0.5034977781271982
0.2 0.08250402901822072 -4.640647465847724e-5 1.60201602e8 0.5404547811417343 0.5036685892773463
0.3 0.12418561655392782 0.00010833361236322462 1.58701587e8 0.5486821430382455 0.533206274143235
0.4 0.166503858189124 -2.508206949231947e-5 1.6100161e8 0.6108459513239055 0.5309486342677191
0.5 0.20940469668536935 -6.870297232952873e-5 1.61201612e8 0.6082186841791761 0.5909753948352154
0.6 0.2531777133125219 -1.2273321385068222e-5 1.62201622e8 0.6310292845563245 0.5779077084947388
0.7 0.2976892901109902 -3.683582568175455e-5 1.61401614e8 0.6031047786177247 0.5922956579863824
0.8 0.34297403452195296 1.2629959911491593e-5 1.61201612e8 0.6641035868320001 0.6365430043195558
0.9 0.3889030232124052 2.8697359020929034e-5 1.61101611e8 0.674941914308121 0.6510025610012738
1.0 0.43575105558684823 -6.86088296678296e-5 1.60601606e8 0.708462217596129 0.7104804368879428
1.2 0.5305819446790633 0.00025265864463999086 1.600016e6 0.30380734561678063 0.3531233137132721
1.4 0.6294752482258277 -0.0021832385071331143 1.600016e6 0.3735051646947209 0.3524794902216101
1.6 0.7282090638924649 -0.0006648614904687315 1.600016e6 0.4033254691783019 0.4057981735434426
1.8 0.8287992867957961 -0.0014260507232858942 1.600016e6 0.40942829390729185 0.4515478051976672
2.0 0.929864297826587 -4.354374223094168e-5 1.600016e6 0.4098977726865351 0.4749027352012887
2.2 1.0321262158725633 0.0016031553929616393 1.600016e6 0.3963457295650683 0.5532628051044115
2.4 1.1334365057505613 -0.0007381095684158033 1.500015e6 0.43825788447471176 0.6627210437133086
2.6 1.2372490924028794 0.00020989080971459305 1.500015e6 0.4752673691183475 0.5858812961128719
2.8 1.339228985586507 0.000157696395619097 1.500015e6 0.46139968120380725 0.7178176852692517
3.0 1.4374420049387395 0.00042961857757673833 1.500015e6 0.569985234949715 0.7112350765824998
3.2 1.5412209317221475 -0.0008324136111745245 1.500015e6 0.5655841397327099 0.7753384284783831
4.0 1.9338677254645145 -0.0008817041764795609 4.400044e6 1.292406497469755 2.2707813750479326
5.0 2.400625201386862 0.0016439949325524877 4.400044e6 1.7886470581827019 2.999615165038655
6.0 2.8399085028697266 -0.00025587559882518575 4.300043e6 1.894716122469732 3.9400459272869126
7.0 3.2531190515925092 -0.0010789152001173688 4.300043e6 2.597356866386195 4.764238634789599
8.0 3.64505847267829 0.0015298776432719392 4.100041e6 2.630143246716333 4.06082177915227
9.0 4.014286295780289 0.0011620205714843903 4.100041e6 3.0146741345018424 4.353852358827553
10.0 4.365366115834865 -0.0019197086331942711 4.00004e6 3.501342553002409 5.360839242236377
11.0 4.693763854228073 0.001643521964254131 4.00004e6 4.033906636096757 5.582317916773921
12.0 5.005973516855609 0.0021084579105552456 3.700037e6 4.87402770998724 6.0459980871387815
13.0 5.307331694042688 0.00010527145352420188 3.700037e6 5.84638992784941 7.575282709261633
14.0 5.590180082335564 0.0012709735281806044 3.700037e6 7.068742933041551 8.514237860075388
