eta Im(response) Re(response) N_samps AV_im_response AV_re_response
0.01 0.003253376791925665 5.0313657435025606e-5 1.5700157e8 0.5251943875401593 0.5261180896383065
0.02 0.0064340760865829166 8.219151096147647e-5 1.57801578e8 0.5470937371625646 0.5245556767169364
0.03 0.009659708626946097 2.7302322693218894e-5 1.57201572e8 0.5330792777829044 0.5198154032014268
0.04 0.012824882061494894 2.2913648639250834e-5 1.57101571e8 0.501052665084021 0.5250236918237897
0.05 0.016118471859205077 -2.006930574506561e-5 1.55701557e8 0.5179568527413339 0.5042550401057978
0.06 0.019267119158862544 -9.86375600977749e-6 1.56801568e8 0.5233354071656153 0.5212080409751101
0.07 0.022590415798205508 -2.243539742460772e-5 1.57901579e8 0.5167793832163621 0.5186242896841029
0.08 0.025718710937768584 -1.9651092895850933e-5 1.60701607e8 0.5339364141692657 0.5330961413941142
0.09 0.028989724880351918 2.238208607078392e-6 1.58201582e8 0.522744041194281 0.5587688842408508
0.1 0.03214612543127381 -8.762195862872076e-6 1.5100151e8 0.49683481105503735 0.5325079977328319
0.2 0.06451880298631914 -5.545799020961573e-6 1.50101501e8 0.5191749030308253 0.529236159153289
0.3 0.09702107596459433 -6.313012660923856e-5 1.50201502e8 0.557796389242273 0.5347890114660536
0.4 0.129803874163869 -2.468097626160882e-5 1.500015e8 0.5349448938529239 0.5044940968115916
0.5 0.16270445236324332 -7.52954871118018e-6 1.49201492e8 0.5449810156773898 0.529750946682478
0.6 0.19584609808585282 -2.542930971349953e-5 1.50601506e8 0.5874884071063091 0.5543142540171273
0.7 0.2292485081715741 -5.829065210298287e-5 1.49501495e8 0.5847534970630455 0.5554904009788131
0.8 0.26300706566249343 -1.974577014276441e-5 1.49301493e8 0.5833078906936677 0.6029422465793358
0.9 0.2972000355517757 -7.785993056418893e-5 1.500015e8 0.6093661912471906 0.5813936820439174
1.0 0.33162292857501546 1.5238222816516223e-5 1.50201502e8 0.6153888223238887 0.6692565743279146
1.2 0.4014881027995746 0.000503468805595674 1.100011e6 0.3021160827295506 0.31509336223073864
1.4 0.4728872338769175 -0.0007491336414443952 1.100011e6 0.32004655569321727 0.3187574655909391
1.6 0.544790689657814 0.00016849749971938272 1.100011e6 0.345426705420871 0.31591138512874223
1.8 0.6173375791620948 7.400563939360179e-5 1.200012e6 0.34440220006141686 0.3431501229572717
2.0 0.6902306967255014 0.0014122006132668338 1.100011e6 0.4046037298606244 0.3517628810691679
2.2 0.7666879499786908 -0.0011628661223538359 1.200012e6 0.3649040325047924 0.40164089605232445
2.4 0.840963062944076 -6.878996436501546e-5 1.100011e6 0.3783734494430342 0.3981835127889262
2.6 0.9166818619675172 0.0018971380707483408 1.100011e6 0.4366082388452313 0.43684422311139776
2.8 0.9914656136090729 0.002245950520309132 1.100011e6 0.45152139635924915 0.4613182199926028
3.0 1.0671799369493635 0.0007375001674528404 1.100011e6 0.4448393583017576 0.4870863738903347
3.2 1.1430379083560727 0.0006851132408924056 1.100011e6 0.47803888949198836 0.5780511818984864
4.0 1.4446444335004425 0.00037345187495903595 4.100041e6 0.8537936932323311 1.0771123545268984
5.0 1.8155967487399138 0.00044489893266680327 4.100041e6 0.9493047386654767 1.2609401645192817
6.0 2.1756958392155163 0.0008837886008639237 4.00004e6 1.1809973403597156 1.6209758151144893
7.0 2.522891497601049 0.00018337708939465908 3.900039e6 1.308360403816294 1.9793486790516166
8.0 2.856172797571219 0.0002268258424479722 3.800038e6 1.4966212471485119 2.215942848569372
9.0 3.1785619388101067 0.000516991556432742 3.800038e6 1.7852840583884593 2.75249070653019
10.0 3.4881089143408235 -0.0009491196831869761 3.600036e6 2.428236882956374 3.183460065220641
11.0 3.785476774784892 -0.0008682298908221702 3.600036e6 2.541741845398526 3.619172507901285
12.0 4.073280498275724 0.0005085554089025489 3.400034e6 2.901741274870393 4.059858960762187
13.0 4.345509120014884 6.605243534595529e-5 3.500035e6 3.339046609238194 4.629828797657795
14.0 4.607504389013378 0.00024649629877028853 3.400034e6 3.7219216459091555 4.933008396339374
